nizaofanxiangchibaozihaishiyoutiao	你早饭想吃包子还是油条
zhetiaojiedanxingxianbiekaijinqu	这条街单行线别开进去
feijiyanwugaiqiandaowanshangbadian	飞机延误改签到晚上八点
gongxiangchongdianbaoyixiaoshisikuaiqian	共享充电宝一小时四块钱
jingqutingchechangshifenzhongyiweinanqiu	景区停车场十分钟一位难求
zuolunchuanqudaoshangyaolianggexiaoshi	坐轮船去岛上要两个小时
fanchengdepiaobiquchengguileyibei	返程的票比去程贵了一倍
qidiandongchejidedaitoukui	骑电动车记得戴头盔
suidaolixinhaoduanduanxuxude	隧道里信号断断续续的
quguzhendelushangquanshichayuan	去古镇的路上全是茶园
jiudiandezaocandaojiudianbanjieshu	酒店的早餐到九点半结束
pashanchuanyundongxiebiechuanliangxie	爬山穿运动鞋别穿凉鞋
houcheshidechazuodoubeizhanle	候车室的插座都被占了
zijiayoudeluxianniguihuahaolema	自驾游的路线你规划好了吗
chuzhankouwangzuozoushigongjiaoshuniu	出站口往左走是公交枢纽
zheduanpanshanluyigongshibagewan	这段盘山路一共十八个弯
shiquxiansuwushibiechaole	市区限速五十别超了
luyingdezhangpengjienimenyiding	露营的帐篷借你们一顶
yebangongjiaobanxiaoshicaiyitang	夜班公交半小时才一趟
dukoudemobanchuanliudiankai	渡口的末班船六点开
xinglichaozhongledeibutuoyunfei	行李超重了得补托运费
qiaoshangducheraojiangbianzougengkuai	桥上堵车绕江边走更快
jiamanyixiangyouyouzhangleershikuai	加满一箱油又涨了二十块
guyuqianhouzhengshicaichadeshijie	谷雨前后正是采茶的时节
yichangqiuyuyichanghan	一场秋雨一场寒
wuyanxiadebinglinghualeyidishui	屋檐下的冰凌化了一地水
taohuaxunlaileheshuizhanglebushao	桃花汛来了河水涨了不少
sanfutiandewuhoumendechuanbuguoqi	三伏天的午后闷得喘不过气
shuangjiangzhihoushizicaitian	霜降之后柿子才甜
beifengyiqiluweidangbaichengyipian	北风一起芦苇荡白成一片
xiyubaqingshibanluxidefaliang	细雨把青石板路洗得发亮
dashuzhejitianlianfengdoushirede	大暑这几天连风都是热的
layuelijiajiahuhumangzhebeinianhuo	腊月里家家户户忙着备年货
jingleiyishengchunsunpotu	惊雷一声春笋破土
wanxiabajiangmianranchenglejuhongse	晚霞把江面染成了橘红色
xiaomanshijiemaiziguanjiangzhengmang	小满时节麦子灌浆正忙
nongwusanquyuanshanluchulunkuo	浓雾散去远山露出轮廓
shujiuhantianhemiandongdejieshi	数九寒天河面冻得结实
shizhengbumenjiakuaituijinlaojiuxiaoqugaizao	市政部门加快推进老旧小区改造
xinguiduiwangluopingtaimingquelezhutizeren	新规对网络平台明确了主体责任
benjieluntanjujiaolvseditanzhuanxing	本届论坛聚焦绿色低碳转型
tiaojiejizhiyouxiaohuajielelinlijiufen	调解机制有效化解了邻里纠纷
wenlvronghedaidonglexiangcunxiaofeishengji	文旅融合带动了乡村消费升级
caoanjiangtijiaochangweihuiercishenyi	草案将提交常委会二次审议
haiguanchahuoyipiqinquanfangmaoshangpin	海关查获一批侵权仿冒商品
caizhengbutiexiangjicengyiliaoqingxie	财政补贴向基层医疗倾斜
zhaobiaogonggaozaiguanwangtongbufabu	招标公告在官网同步发布
duchazusuijichouchalesangexianqu	督查组随机抽查了三个县区
zhiyejinengpeixunfugailiangwanyuren	职业技能培训覆盖两万余人
hangdaoshujungongchengniandiqianwangong	航道疏浚工程年底前完工
shequshitangshidianhuodejuminhaoping	社区食堂试点获得居民好评
zhanguanrijunjiedaiguanzhongpowan	展馆日均接待观众破万
tanpaifangjiaoyishichangyunxingpingwen	碳排放交易市场运行平稳
